pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage,CASEligible
29281,SG,nse_cm,,703GJ35,703GJ35-SG,,703GJ35-SG,IN1520240178,,,,SDL GJ 7.03% 2035,,,1,100,-1,-1,2,-1,NSE,,,1422748800,,1422748800,0,0,0,0,0,95.00-105.00,0,0,1474648823,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,,false
25132,N0,nse_cm,,747SIDBI29,747SIDBI29-N0,,747SIDBI29-N0,INE556F08KR0,,,,SIDBI 7.47% 2029 SR II,,,1,1,-1,-1,2,-1,NSE,,,1410307200,,1410307200,0,0,0,0,1471737600,80000.00-120000.00,0,0,1474648823,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,315513000,0,1,1000.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,500000,0,0,1000,,false
24992,SG,nse_cm,,727RJ42,727RJ42-SG,,727RJ42-SG,IN2920240255,,,,SDL RJ 7.27% 2042,,,1,100,-1,-1,2,-1,NSE,,,1409443200,,1409443200,0,0,0,0,0,95.00-105.00,0,0,1474648822,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,,false
5678,SG,nse_cm,,691MH33,691MH33-SG,,691MH33-SG,IN2220210248,,,,SDL MH 6.91% 2033,,,1,100,-1,-1,2,-1,NSE,,,1316304000,,1316304000,0,0,0,0,0,91.20-100.80,0,0,1474648819,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1041600.00,100,0,10080,9120,1,1,1,0,0,1,0,2e+08,0,0,1041600,,false
20183,SG,nse_cm,,772AP38,772AP38-SG,,772AP38-SG,IN1020230596,,,,SDL AP 7.72% 2038,,,1,100,-1,-1,2,-1,NSE,,,1384646400,,1384646400,0,0,0,0,0,95.00-105.00,0,0,1474648822,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,5e+07,0,0,1000000,,false
25552,N1,nse_cm,,948SCL27D,948SCL27D-N1,,948SCL27D-N1,INE148I07UC3,,,,SEC RE NCD 9.48% SR V,,,1,1,-1,-1,2,-1,NSE,,,1411862400,,1411862400,0,0,0,0,1473465600,792.40-1188.60,0,0,1474648823,,,,,,,,,,CASH,,,,,100000,,,,0,20,,0.0000,T+1,315513000,0,1,4994.00,1,0,118860,79240,1,1,1,0,0,1,0,152745,0,0,4994,,false
30191,BE,nse_cm,,CURAA,CURAA-BE,,CURAA,INE117B01020,,,,CURA TECHNOLOGIES LIMITED,,,1,1,-1,-1,2,-1,NSE,,,1426982400,,1426982400,0,0,0,0,0,68.40-75.60,0,0,1474653965,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,323730.00,1,0,7560,6840,1,1,1,0,0,1,0,9.9e+06,0,0,323730,"Scrips in GSM,EPS based on previous 4 trailing quarters in the scrip is zero,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100,Gross settlement (Trade for Trade)",false
25961,SG,nse_cm,,715MN39,715MN39-SG,,715MN39-SG,IN2320240046,,,,SDL MN 7.15% 2039,,,1,100,-1,-1,2,-1,NSE,,,1415145600,,1415145600,0,0,0,0,0,95.00-105.00,0,0,1474648823,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,654000.00,100,0,10500,9500,1,1,1,0,0,1,0,2e+07,0,0,654000,,false
3507,EQ,nse_cm,,MAFANG,MAFANG-EQ,,MAFANG,INF769K01HF4,,,,MIRAEAMC - MAFANG,,,1,1,-1,-1,2,-1,NSE,,,1305417600,,1305417600,0,0,0,0,0,210.73-257.55,0,0,1474655344,,,,,,,,,,CASH,,,,,4000,,,,0,20,,0.0000,T+1,315513000,0,1,427093.00,1,0,25755,21073,1,1,1,0,0,1,0,2.47304e+08,0,0,427093,,false
29994,SG,nse_cm,,727TS49,727TS49-SG,,727TS49-SG,IN4520240537,,,,SDL TS 7.27% 2049,,,1,100,-1,-1,2,-1,NSE,,,1425772800,,1425772800,0,0,0,0,0,95.00-105.00,0,0,1474648823,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,,false
18783,EQ,nse_cm,,IDFNIFTYET,IDFNIFTYET-EQ,,IDFNIFTYET,INF194KA1U07,,,,BANDHANAMC - IDFNIFTYET,,,1,1,-1,-1,2,-1,NSE,,,1161216000,,1161216000,0,0,0,0,0,233.57-285.47,0,0,1474648821,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,4673.00,1,0,28547,23357,1,1,1,0,0,1,0,142935,0,0,4673,,false
13908,SG,nse_cm,,762TN43,762TN43-SG,,762TN43-SG,IN3120220287,,,,SDL TN 7.62% 2043,,,1,100,-1,-1,2,-1,NSE,,,1359504000,,1359504000,0,0,0,0,0,95.00-105.00,0,0,1474648820,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,999900.00,100,0,10500,9500,1,1,1,0,0,1,0,3e+08,0,0,999900,,false
22063,SG,nse_cm,,678RJ30,678RJ30-SG,,678RJ30-SG,IN2920200051,,,,SDL RJ 6.78% 2030,,,1,100,-1,-1,2,-1,NSE,,,1280275200,,1280275200,0,0,0,0,0,97.78-108.06,0,0,1474648822,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,971600.00,100,0,10806,9778,1,1,1,0,0,1,0,5e+07,0,0,971600,,false
2463,EQ,nse_cm,,MIDHANI,MIDHANI-EQ,,MIDHANI,INE099Z01011,,,,MISHRA DHATU NIGAM LTD,,,5,1,-1,-1,2,-1,NSE,,,1207267200,,1207267200,0,0,0,0,1474588800,333.00-499.40,0,0,1474655344,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,240169.00,1,0,49940,33300,1,1,1,0,0,1,0,1.8734e+08,0,0,240169,The scrip PE is greater than 50 for previous 4 trailing quarters,false
762887,BE,nse_cm,,SCANSTL,SCANSTL-BE,,SCANSTL,INE099G01011,,,,SCAN STEELS LTD.,,,1,1,-1,-1,2,-1,NSE,,,1461110400,,1461110400,0,0,0,0,0,49.21-54.37,0,0,1474655347,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,1,1,1916295.00,1,0,5437,4921,1,1,1,0,0,1,0,5.86023e+07,0,0,1916295,"Stage I ESM Scrip,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100,Gross settlement (Trade for Trade)",false
22496,SG,nse_cm,,765GA34,765GA34-SG,,765GA34-SG,IN1420230220,,,,SDL GA 7.65% 2034,,,1,100,-1,-1,2,-1,NSE,,,1391299200,,1391299200,0,0,0,0,0,91.20-100.80,0,0,1474648822,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,327000.00,100,0,10080,9120,1,1,1,0,0,1,0,1e+07,0,0,327000,,false
16069,SG,nse_cm,,737JK35,737JK35-SG,,737JK35-SG,IN4920230013,,,,SDL JK 7.37% 2035,,,1,100,-1,-1,2,-1,NSE,,,1369526400,,1369526400,0,0,0,0,0,95.00-105.00,0,0,1474648821,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,8e+07,0,0,1000000,,false
22879,SG,nse_cm,,744HR36,744HR36-SG,,744HR36-SG,IN1620230384,,,,SDL HR 7.44% 2036,,,1,100,-1,-1,2,-1,NSE,,,1393718400,,1393718400,0,0,0,0,0,95.00-105.00,0,0,1474648822,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,,false
4895,SG,nse_cm,,719ML41,719ML41-SG,,719ML41-SG,IN2420210022,,,,SDL ML 7.19% 2041,,,1,100,-1,-1,2,-1,NSE,,,1309651200,,1309651200,0,0,0,0,0,95.00-105.00,0,0,1474648819,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,654000.00,100,0,10500,9500,1,1,1,0,0,1,0,2e+07,0,0,654000,,false
20746,SG,nse_cm,,771JK48,771JK48-SG,,771JK48-SG,IN4920230195,,,,SDL JK 7.71% 2048,,,1,100,-1,-1,2,-1,NSE,,,1387670400,,1387670400,0,0,0,0,0,95.00-105.00,0,0,1474648822,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,999960.00,100,0,10500,9500,1,1,1,0,0,1,0,6e+07,0,0,999960,,false
24657,SG,nse_cm,,733MH44,733MH44-SG,,733MH44-SG,IN2220240096,,,,SDL MH 7.33% 2044,,,1,100,-1,-1,2,-1,NSE,,,1407024000,,1407024000,0,0,0,0,0,95.00-105.00,0,0,1474648822,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,999900.00,100,0,10500,9500,1,1,1,0,0,1,0,1.5e+08,0,0,999900,,false
30006,SG,nse_cm,,722RJ35,722RJ35-SG,,722RJ35-SG,IN2920240479,,,,SDL RJ 7.22% 2035,,,1,100,-1,-1,2,-1,NSE,,,1425772800,,1425772800,0,0,0,0,0,95.00-105.00,0,0,1474648823,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,5e+07,0,0,1000000,,false
8998,EQ,nse_cm,,UMIYA-MRO,UMIYA-MRO-EQ,,UMIYA-MRO,INE398B01018,,,,UMIYA BUILDCON LIMITED,,,1,1,-1,-1,2,-1,NSE,,,657676800,,657676800,0,0,1407110400,1407628800,0,76.08-114.12,0,0,1474653966,,,,,,,,,,CASH,,,,,500,,,,0,20,,0.0000,T+1,315513000,0,1,610986.00,1,0,11412,7608,1,1,1,0,0,1,0,1.86846e+07,0,0,610986,,false
15228,EQ,nse_cm,,UJJIVANSFB,UJJIVANSFB-EQ,,UJJIVANSFB,INE551W01018,,,,UJJIVAN SMALL FINANC BANK,,,1,1,-1,-1,2,-1,NSE,,,1260576000,,1260576000,0,0,0,0,1405209600,52.81-79.21,0,0,1474655345,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,1513409.00,1,0,7921,5281,1,1,1,0,0,1,0,1.94526e+09,0,0,1513409,,false
753787,TB,nse_cm,,182D171226,182D171226-TB,,182D171226-TB,IN002026Y113,,,,GOI TBILL 182D-17/12/26,,,1,100,-1,-1,2,-1,NSE,,,1466294400,,1466294400,0,0,0,0,0,92.56-102.30,0,0,1474648825,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1026120.00,100,0,10230,9256,1,1,1,0,0,1,0,6.8e+08,0,0,1026120,,false
758173,EQ,nse_cm,,PROSTARM,PROSTARM-EQ,,PROSTARM,INE0BX301013,,,,PROSTARM INFO SYSTEMS LTD,,,1,1,-1,-1,2,-1,NSE,,,1433376000,,1433376000,0,0,0,0,0,110.47-165.69,0,0,1474655346,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,724216.00,1,0,16569,11047,1,1,1,0,0,1,0,5.88746e+07,0,0,724216,,false
759859,SG,nse_cm,,745HP40,745HP40-SG,,745HP40-SG,IN1720250100,,,,SDL HP 7.45% 2040,,,1,100,-1,-1,2,-1,NSE,,,1448150400,,1448150400,0,0,0,0,0,95.00-105.00,0,0,1474648827,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,980999.00,100,0,10500,9500,1,1,1,0,0,1,0,3e+07,0,0,980999,,false
28854,N1,nse_cm,,IHFL261224,IHFL261224-N1,,IHFL261224-N1,INE477L07BA4,,,,SEC RE NCD SR II,,,1,1,-1,-1,2,-1,NSE,,,1419984000,,1419984000,0,0,0,0,0,920.64-1380.96,0,0,1474648823,,,,,,,,,,CASH,,,,,100000,,,,0,20,,0.0000,T+1,315513000,0,1,2348.00,1,0,138096,92064,1,1,1,0,0,1,0,71813,0,0,2348,,false
20475,SG,nse_cm,,771HR33A,771HR33A-SG,,771HR33A-SG,IN1620230327,,,,SDL HR 7.71% 2033,,,1,100,-1,-1,2,-1,NSE,,,1387065600,,1387065600,0,0,0,0,0,95.00-105.00,0,0,1474648822,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,,false
4555,GS,nse_cm,,GS220261C,GS220261C-GS,,GS220261C-GS,IN000261C015,,,,GOI STRIPS C 220261,,,1,100,-1,-1,2,-1,NSE,,,1308268800,,1308268800,0,0,0,0,0,5.41-5.97,0,0,1474648819,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,55262.00,100,0,597,541,1,1,1,0,0,1,0,1.69e+06,0,0,55262,,false
896,EQ,nse_cm,,KHAICHEM,KHAICHEM-EQ,,KHAICHEM,INE745B01028,,,,KHAITAN CHEM & FERT LTD,,,1,1,-1,-1,2,-1,NSE,,,1288483200,,1288483200,0,0,0,0,1468454400,40.11-60.15,0,0,1474655343,,,,,,,,,,CASH,,,,,100,,,,0,20,,0.0000,T+1,315513000,0,1,1994776.00,1,0,6015,4011,1,1,1,0,0,1,0,9.69892e+07,0,0,1994776,"High low price variation was greater than 200% in previous 365 days,High low price variation was greater than 150% in previous 12 months",false
14441,SG,nse_cm,,775UP35,775UP35-SG,,775UP35-SG,IN3320220129,,,,SDL UP 7.75% 2035,,,1,100,-1,-1,2,-1,NSE,,,1362873600,,1362873600,0,0,0,0,0,95.00-105.00,0,0,1474648820,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,2.5e+08,0,0,1000000,,false
757583,SM,nse_cm,,SAFEENTP,SAFEENTP-SM,,SAFEENTP-SM,INE17D601016,,,,SAFE ENTER RETAIL FIX LTD,,,5,500,-1,-1,2,-1,NSE,,,1435449600,,1435449600,0,0,0,0,0,200.05-300.05,0,0,1474655346,,,,,,,,,,CASH,,,,,500,,,,0,20,,0.0000,T+1,315513000,0,1,399913.00,500,0,30005,20005,1,1,1,0,0,1,0,4.66045e+07,0,0,399913,"Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100,The scrip is not regularly traded, and exit may be difficult",false
22508,SG,nse_cm,,767WB44,767WB44-SG,,767WB44-SG,IN3420230200,,,,SDL WB 7.67% 2044,,,1,100,-1,-1,2,-1,NSE,,,1391299200,,1391299200,0,0,0,0,0,95.00-105.00,0,0,1474648822,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,999900.00,100,0,10500,9500,1,1,1,0,0,1,0,1.5e+08,0,0,999900,,false
24334,SG,nse_cm,,739ML34,739ML34-SG,,739ML34-SG,IN2420240045,,,,SDL ML 7.39% 2034,,,1,100,-1,-1,2,-1,NSE,,,1404604800,,1404604800,0,0,0,0,0,95.00-105.00,0,0,1474648822,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,4e+07,0,0,1000000,,false
7314,SG,nse_cm,,696UP31,696UP31-SG,,696UP31-SG,IN3320210179,,,,SDL UP 6.96% 2031,,,1,100,-1,-1,2,-1,NSE,,,1324771200,,1324771200,0,0,0,0,0,95.00-105.00,0,0,1474648819,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,2.5e+08,0,0,1000000,,false
14431,SG,nse_cm,,771BR33,771BR33-SG,,771BR33-SG,IN1320220214,,,,SDL BR 7.71% 2033,,,1,100,-1,-1,2,-1,NSE,,,1362873600,,1362873600,0,0,0,0,0,95.00-105.00,0,0,1474648820,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,2e+08,0,0,1000000,,false
18192,MF,nse_cm,,HFMPCC75RD,HFMPCC75RD-MF,,HFMPCC75RD-MF,INF179KC1HD4,,,,HDFCAMC - HFMPCC75RD,,,1,1,-1,-1,2,-1,NSE,,,1377216000,,1377216000,0,0,0,0,0,9.00-11.00,0,0,1474648821,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,365059.00,1,0,1100,900,1,1,1,0,0,1,0,1.11639e+07,0,0,365059,,false
21427,EQ,nse_cm,,THEINVEST,THEINVEST-EQ,,THEINVEST,INE924D01017,,,,THE INVEST TRUST OF IND L,,,1,1,-1,-1,2,-1,NSE,,,1186099200,,1186099200,0,0,1316649600,1317168000,0,75.25-112.87,0,0,1474655345,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,1063129.00,1,0,11287,7525,1,1,1,0,0,1,0,5.22422e+07,0,0,1063129,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100,false
22215,SG,nse_cm,,722AP31,722AP31-SG,,722AP31-SG,IN1020190352,,,,SDL AP 7.22% 2031,,,1,100,-1,-1,2,-1,NSE,,,1280275200,,1280275200,0,0,0,0,0,101.27-111.91,0,0,1474648822,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,938130.00,100,0,11191,10127,1,1,1,0,0,1,0,4.83e+07,0,0,938130,,false
764285,EQ,nse_cm,,CEMNTGROWW,CEMNTGROWW-EQ,,CEMNTGROWW,INF666M01PH7,,,,GROWWAMC - CEMNTGROWW,,,1,1,-1,-1,2,-1,NSE,,,1469664000,,1469664000,0,0,0,0,0,12.86-15.70,0,0,1474648828,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,208443.00,1,0,1570,1286,1,1,1,0,0,1,0,6.37443e+06,0,0,208443,,false
22211,SG,nse_cm,,743TS54,743TS54-SG,,743TS54-SG,IN4520190138,,,,SDL TS 7.43% 2054,,,1,100,-1,-1,2,-1,NSE,,,1280275200,,1280275200,0,0,0,0,0,106.68-117.90,0,0,1474648822,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,890400.00,100,0,11790,10668,1,1,1,0,0,1,0,2e+08,0,0,890400,,false
30204,N1,nse_cm,,1025SCL35A,1025SCL35A-N1,,1025SCL35A-N1,INE148I07VZ2,,,,SCL 10.25% SR XII,,,1,1,-1,-1,2,-1,NSE,,,1426982400,,1426982400,0,0,0,0,1472947200,800.00-1200.00,0,0,1474648824,,,,,,,,,,CASH,,,,,100000,,,,0,20,,0.0000,T+1,315513000,0,1,3117.00,1,0,120000,80000,1,1,1,0,0,1,0,95347,0,0,3117,,false
8849,BE,nse_cm,,KCPSUGIND,KCPSUGIND-BE,,KCPSUGIND,INE790B01024,,,,KCPSUGARINDUS,,,1,1,-1,-1,2,-1,NSE,,,655689600,,655689600,0,0,0,0,1474070400,28.09-31.03,0,0,1474655344,,,,,,,,,,CASH,,,,,100,,,,0,20,,0.0000,T+1,315513000,0,1,3382843.00,1,0,3103,2809,1,1,1,0,0,1,0,1.13385e+08,0,0,3382843,Security is under Gross settlement (Trade for Trade),false
1162,EQ,nse_cm,,GTL,GTL-EQ,,GTL,INE043A01012,,,,GTL LTD,,,1,1,-1,-1,2,-1,NSE,,,480902400,,480902400,0,0,1127433600,1127433600,0,5.63-8.43,0,0,1474653966,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,5143604.00,1,0,843,563,1,1,1,0,0,1,0,1.57297e+08,0,0,5143604,,false
